mask,index,timestamp,keyframe_index,group,valid_pixel_count,retained_fraction,median_m,p90_m,p95_m,p99_m,max_m,fraction_gt_0_30,global_top1_contribution,confidence_0_fraction_m0,confidence_1_fraction_m0,confidence_2_fraction_m0,zero_valid_depth
M1_CONFIDENCE_GE1,66,653432.896,66,2,37720,0.7674153645833334,0.014016794972121716,0.040393574163317666,0.06386100985109801,0.15353715404868112,0.4627445936203003,0.0018027571580063627,0.0,0.23258463541666666,0.16019694010416666,0.6072184244791666,False
M2_CONFIDENCE_EQ2,66,653432.896,66,2,29846,0.6072184244791666,0.012712091207504272,0.025797138921916485,0.032529170624911785,0.04594113174825906,0.16252946853637695,0.0,0.0,0.23258463541666666,0.16019694010416666,0.6072184244791666,False
M0_RAW_POSITIVE,67,653432.996,67,2,49152,1.0,0.015310987830162048,0.058828544616699244,0.10149936825036997,0.2566626268625258,0.6080024242401123,0.008097330729166666,5.704181164793794e-05,0.1663818359375,0.10764567057291667,0.7259724934895834,False
M1_CONFIDENCE_GE1,67,653432.996,67,2,40974,0.8336181640625,0.014074856881052256,0.027315954305231576,0.051324450969696025,0.15324169546365718,0.45588821172714233,0.0036608581051398447,0.0,0.1663818359375,0.10764567057291667,0.7259724934895834,False
M2_CONFIDENCE_EQ2,67,653432.996,67,2,35683,0.7259724934895834,0.013461727648973465,0.024026495590806007,0.02726116366684437,0.055190818607807175,0.12430701404809952,0.0,0.0,0.1663818359375,0.10764567057291667,0.7259724934895834,False
M0_RAW_POSITIVE,68,653433.196,68,2,49152,1.0,0.01351918326690793,0.04456887878477579,0.08419858701527107,0.2082003484666346,0.4480611979961395,0.000732421875,0.0,0.10284423828125,0.09781901041666667,0.7993367513020834,False
M1_CONFIDENCE_GE1,68,653433.196,68,2,44097,0.89715576171875,0.01224151998758316,0.02559587582945824,0.036232493072748125,0.1052267253398896,0.4462989270687103,0.00015874095743474614,0.0,0.10284423828125,0.09781901041666667,0.7993367513020834,False
M2_CONFIDENCE_EQ2,68,653433.196,68,2,39289,0.7993367513020834,0.011702475138008595,0.023092275112867364,0.026044821366667747,0.034326590895652785,0.17528198659420013,0.0,0.0,0.10284423828125,0.09781901041666667,0.7993367513020834,False
M0_RAW_POSITIVE,69,653433.396,69,2,49152,1.0,0.016233129426836967,0.042761179059743894,0.0750734142959116,0.15935850039124466,0.4714887738227844,0.0010782877604166667,0.0,0.0989990234375,0.14329020182291666,0.7577107747395834,False
M1_CONFIDENCE_GE1,69,653433.396,69,2,44286,0.9010009765625,0.015505969524383545,0.03387032262980938,0.04573163855820894,0.13995246365666403,0.4714887738227844,0.0008580589802646434,0.0,0.0989990234375,0.14329020182291666,0.7577107747395834,False
M2_CONFIDENCE_EQ2,69,653433.396,69,2,37243,0.7577107747395834,0.01495584286749363,0.02729822359979153,0.03280254602432251,0.04534271568059928,0.10260828584432602,0.0,0.0,0.0989990234375,0.14329020182291666,0.7577107747395834,False
M0_RAW_POSITIVE,70,653433.596,70,2,49152,1.0,0.01567701715976,0.053291830047965054,0.07457293234765525,0.14384522661566723,0.4994913935661316,0.002197265625,3.8027874431958625e-05,0.22342936197916666,0.1497802734375,0.6267903645833334,False
M1_CONFIDENCE_GE1,70,653433.596,70,2,38170,0.7765706380208334,0.014901543036103249,0.02780233714729547,0.03906974587589501,0.0740811487287283,0.3006647825241089,2.6198585276395076e-05,0.0,0.22342936197916666,0.1497802734375,0.6267903645833334,False
M2_CONFIDENCE_EQ2,70,653433.596,70,2,30808,0.6267903645833334,0.015290642157196999,0.026171474531292916,0.03048541145399213,0.07207612425088883,0.08992825448513031,0.0,0.0,0.22342936197916666,0.1497802734375,0.6267903645833334,False
M0_RAW_POSITIVE,71,653433.796,71,2,49152,1.0,0.010243017226457596,0.0380067102611065,0.062169743329286535,0.07850020781159397,3.111064910888672,0.0002644856770833333,0.00011408362329587588,0.050211588541666664,0.08563232421875,0.8641560872395834,False
M1_CONFIDENCE_GE1,71,653433.796,71,2,46684,0.9497884114583334,0.009712948463857174,0.0346600215882063,0.057176573202013956,0.07771976225078106,0.15488731861114502,0.0,0.0,0.050211588541666664,0.08563232421875,0.8641560872395834,False
M2_CONFIDENCE_EQ2,71,653433.796,71,2,42475,0.8641560872395834,0.008984236046671867,0.03182423040270804,0.05545884333550927,0.07754254177212715,0.08161434531211853,0.0,0.0,0.050211588541666664,0.08563232421875,0.8641560872395834,False
M0_RAW_POSITIVE,72,653434.295,72,2,49152,1.0,0.012005291413515806,0.04006344974040985,0.06138354577124118,0.0751952279359102,0.3897083103656769,0.0006510416666666666,0.0,0.041035970052083336,0.07330322265625,0.8856608072916666,False
M1_CONFIDENCE_GE1,72,653434.295,72,2,47135,0.9589640299479166,0.011367825791239738,0.03986361175775528,0.061028205975890155,0.07450192317366597,0.34955617785453796,0.00029701920016972523,0.0,0.041035970052083336,0.07330322265625,0.8856608072916666,False
M2_CONFIDENCE_EQ2,72,653434.295,72,2,43532,0.8856608072916666,0.010728629305958748,0.03847314938902855,0.0597867736592888,0.07387426979839802,0.12777207791805267,0.0,0.0,0.041035970052083336,0.07330322265625,0.8856608072916666,False
M0_RAW_POSITIVE,73,653434.495,73,2,49152,1.0,0.014098295010626316,0.04776450991630554,0.07304910607635974,0.14566825300455047,0.5589417219161987,0.0015665690104166667,3.8027874431958625e-05,0.060689290364583336,0.10355631510416667,0.83575439453125,False
M1_CONFIDENCE_GE1,73,653434.495,73,2,46169,0.9393107096354166,0.01312230434268713,0.03712672144174576,0.0572250090539454,0.08574180930852889,0.49173977971076965,0.0003682124369165457,0.0,0.060689290364583336,0.10355631510416667,0.83575439453125,False
M2_CONFIDENCE_EQ2,73,653434.495,73,2,41079,0.83575439453125,0.01222904771566391,0.032096794247627264,0.04531467705965041,0.0743069687485695,0.18824586272239685,0.0,0.0,0.060689290364583336,0.10355631510416667,0.83575439453125,False
