trial_scope,source_run_id,trial_id,N_all,N_formal_replayable,N_diagnostic_reconstructable,N_not_replayable,N_L2_reached,N_L2_reachability_unknown,N_L2_candidate_evaluated,N_L2_PASS,N_L2_FAIL,N_L2_UNKNOWN,formal_replay_coverage
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:31be8c87d4f6f992b3522a54c33f7e6e40e89379d1fd6c01c89ee435aac35228,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:31be8c87d4f6f992b3522a54c33f7e6e40e89379d1fd6c01c89ee435aac35228,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:31f5fbf83b22b8affbd826c191e1c9afd9703870163a16ef3d0c2359c6414d8d,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:31f5fbf83b22b8affbd826c191e1c9afd9703870163a16ef3d0c2359c6414d8d,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:32f4caf77583594bc044ae2fe8b8b401a09dde6f0221d49bd7245dbee47e498c,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:32f4caf77583594bc044ae2fe8b8b401a09dde6f0221d49bd7245dbee47e498c,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:356d070446f650746461ac33020070068da019d6bb775ea14c62caa0dd18f5d9,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:356d070446f650746461ac33020070068da019d6bb775ea14c62caa0dd18f5d9,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:38be655de3a17a6ab5256ef652d49bc8b6d36a38bf27b1c3ca9ae458f4217d06,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:38be655de3a17a6ab5256ef652d49bc8b6d36a38bf27b1c3ca9ae458f4217d06,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:399118ab0f77d17ea962d88e8936c4fc75cd72591aade25f89c318b982ebc57e,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:399118ab0f77d17ea962d88e8936c4fc75cd72591aade25f89c318b982ebc57e,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:3c75d7c13ee7223b0cb69a33268c796fb521a713545c13849f4836c0cbe1ef9c,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:3c75d7c13ee7223b0cb69a33268c796fb521a713545c13849f4836c0cbe1ef9c,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:3e4db02c9f634aaf69d33ddd33cbaa76acad1e73ffda432a23a30547cae8792c,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:3e4db02c9f634aaf69d33ddd33cbaa76acad1e73ffda432a23a30547cae8792c,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:3fde220d847d1f9f8d7c1556c5f6d6b037ebe6ab6799fcc3ba48e3efca5e4b89,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:3fde220d847d1f9f8d7c1556c5f6d6b037ebe6ab6799fcc3ba48e3efca5e4b89,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:40e848a70950a9b08c6039a12d53b71dadd89815d0bdc4d81621dcec92c82558,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:40e848a70950a9b08c6039a12d53b71dadd89815d0bdc4d81621dcec92c82558,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:44bfd3f2fa5a500e95206cea0f0d56145401b48bef781b2e345950e40bea2867,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:44bfd3f2fa5a500e95206cea0f0d56145401b48bef781b2e345950e40bea2867,1,0,0,1,0,1,0,0,0,0,0.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:47145bd4383cf6b9ce894591e6b76122d4df127f6f3d2708a6df27be69487971,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:47145bd4383cf6b9ce894591e6b76122d4df127f6f3d2708a6df27be69487971,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:49b0ef175ab71bfbef232228135f074233920cb420fb946fb5de8724962566de,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:49b0ef175ab71bfbef232228135f074233920cb420fb946fb5de8724962566de,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:4d4b8f9fd8186537bd3ed2e58019f82f7938d72118c93c4286fecd651aa968e0,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:4d4b8f9fd8186537bd3ed2e58019f82f7938d72118c93c4286fecd651aa968e0,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:4d7f5c7988bc467defc6a090b8cfa31b62a73a6c022d1273d791e429d981965b,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:4d7f5c7988bc467defc6a090b8cfa31b62a73a6c022d1273d791e429d981965b,1,1,0,0,0,1,0,0,0,0,1.0
PR87_ACTIVATED_ONE_STEP|E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:51c3250208358e100fdf3ff8090d555d59b84fd9cb72f18175425cf52f99d9b7,PR87_ACTIVATED_ONE_STEP,E1_REPLICA_GT_FINE:B0_CURRENT_CBF_ONLY:51c3250208358e100fdf3ff8090d555d59b84fd9cb72f18175425cf52f99d9b7,1,1,0,0,0,1,0,0,0,0,1.0
