trial_id,delta_old,delta_new,delta_change,hard_old,hard_new,completed_cycles_old,completed_cycles_new,primary_count_old,primary_count_new,backup_count_old,backup_count_new,terminal_count_old,terminal_count_new,L3_fail_count_old,L3_fail_count_new,terminal_rate_change,primary_rate_change,L3_fail_rate_change
93,0.21205220523764712,0.2058043504253555,-0.00624785481229162,False,False,500,500,500,434,0,6,0,60,0,66,0.12,-0.132,0.132
39,0.03328791390206086,0.01586488777380192,-0.01742302612825894,False,False,500,500,500,69,0,4,0,427,0,431,0.854,-0.862,0.862
49,0.03983521018634763,0.031153278092589318,-0.00868193209375831,False,False,500,500,500,97,0,6,0,397,0,403,0.794,-0.806,0.806
97,0.1693733045522292,-0.8294558439223783,-0.9988291484746075,False,False,500,500,500,2,0,2,0,496,0,498,0.992,-0.996,0.996
60,0.030683994642824154,-0.038190074971385525,-0.06887406961420968,False,False,500,500,500,0,0,0,0,500,0,500,1.0,-1.0,1.0
83,0.811011619076362,2.488825495391804e-06,-0.8110091302508666,False,False,500,500,500,9,0,5,0,486,0,491,0.972,-0.982,0.982
36,0.07439343705608956,0.023537404647465267,-0.05085603240862429,False,False,500,500,500,79,0,5,0,416,0,421,0.832,-0.842,0.842
67,0.15848766155308291,0.15867424170624655,0.00018658015316364018,False,False,500,500,500,486,0,14,0,0,0,14,0.0,-0.028000000000000025,0.028
86,0.03277742810772791,0.015337915082808434,-0.017439513024919473,False,False,500,500,500,114,0,4,0,382,0,386,0.764,-0.772,0.772
3,0.637406152606508,0.629899806708428,-0.007506345898079969,False,False,500,500,500,416,0,10,0,74,0,84,0.148,-0.16800000000000004,0.168
81,0.8025338603623167,-0.02465888301024314,-0.8271927433725598,False,False,500,500,500,3,0,3,0,494,0,497,0.988,-0.994,0.994
87,0.21125701420661502,-0.637242873421451,-0.848499887628066,False,False,500,500,500,0,0,0,0,500,0,500,1.0,-1.0,1.0
71,0.023145351677052894,-0.2569286549156534,-0.2800740065927063,False,False,500,500,500,1,0,1,0,498,0,499,0.996,-0.998,0.998
20,0.6775160025192046,0.6776097020426337,9.36995234290805e-05,False,False,500,500,500,498,0,2,0,0,0,2,0.0,-0.0040000000000000036,0.004
53,0.5863504553792562,0.06181950334135437,-0.5245309520379019,False,False,500,500,500,203,0,5,0,292,0,297,0.584,-0.594,0.594
7,0.2519541830933614,0.010775364682132915,-0.24117881841122846,False,False,500,500,500,237,0,3,0,260,0,263,0.52,-0.526,0.526
58,0.0374313740094287,0.02781987769494379,-0.009611496314484907,False,False,500,500,500,95,0,10,0,395,0,405,0.79,-0.81,0.81
40,0.03871611488910459,0.029676648655028948,-0.009039466234075644,False,False,500,500,500,91,0,8,0,401,0,409,0.802,-0.8180000000000001,0.818
89,0.20558467404496494,0.1875677748377197,-0.01801689920724525,False,False,500,500,500,366,0,3,0,131,0,134,0.262,-0.268,0.268
94,0.09343988389866953,0.019066336635295944,-0.07437354726337359,False,False,500,500,500,215,0,4,0,281,0,285,0.562,-0.5700000000000001,0.57
68,0.03814917785463834,0.028246180660455367,-0.009902997194182972,False,False,500,500,500,415,0,8,0,77,0,85,0.154,-0.17000000000000004,0.17
48,0.02122642824994507,0.013926835979758856,-0.007299592270186214,False,False,500,500,500,99,0,8,0,393,0,401,0.786,-0.802,0.802
92,0.38473335015664173,0.005470568392280883,-0.37926278176436085,False,False,500,500,500,209,0,10,0,281,0,291,0.562,-0.5820000000000001,0.582
34,0.6018858420910955,0.02529950328649698,-0.5765863388045985,False,False,500,500,500,81,0,6,0,413,0,419,0.826,-0.838,0.838
72,0.598684059329236,0.007246012074822568,-0.5914380472544134,False,False,500,500,500,46,0,3,0,451,0,454,0.902,-0.908,0.908
17,0.6742697893242164,-0.32277050574166705,-0.9970402950658834,False,False,500,500,500,0,0,0,0,500,0,500,1.0,-1.0,1.0
32,0.04794477697493743,0.03522637503344546,-0.012718401941491972,False,False,500,500,449,137,51,6,0,357,0,363,0.714,-0.624,0.726
62,0.029328285097038775,0.012450800448800377,-0.0168774846482384,False,False,500,500,500,54,0,6,0,440,0,446,0.88,-0.892,0.892
41,0.042259972058746736,0.033693534914435844,-0.008566437144310893,False,False,500,500,499,107,1,2,0,391,0,393,0.782,-0.784,0.786
52,0.6489498265255762,-0.08313199857229012,-0.7320818250978663,False,False,500,500,500,0,0,0,0,500,0,500,1.0,-1.0,1.0
64,0.008495392278142444,0.008679433016686056,0.00018404073854361158,False,False,500,500,500,490,0,10,0,0,0,10,0.0,-0.020000000000000018,0.02
22,0.03307776402164503,0.019755675259133743,-0.013322088762511286,True,False,412,500,410,185,1,7,0,308,0,315,0.616,-0.6251456310679612,0.63
84,0.03622807620312857,-0.21395248551740947,-0.25018056172053804,False,False,500,500,500,0,0,0,0,500,0,500,1.0,-1.0,1.0
11,0.026181134228076997,0.01920466763304718,-0.006976466595029818,False,False,500,500,500,390,0,10,0,100,0,110,0.2,-0.21999999999999997,0.22
57,0.052731246641780014,-0.04511304319909211,-0.09784428984087212,True,False,394,500,392,0,1,0,0,500,0,500,1.0,-0.9949238578680203,1.0
1,0.6649368462470382,0.029109626359968777,-0.6358272198870694,False,False,500,500,500,180,0,16,0,304,0,320,0.608,-0.64,0.64
46,0.040038032636597484,0.03752260443794132,-0.002515428198656161,False,False,500,500,500,192,0,36,0,272,0,308,0.544,-0.616,0.616
