trial_id,frozen_order_rank,historical_witness,active_progress_new,reference_progress,delta_new,hard_violation_new,min_hard_h_new,completed_cycles_new,primary_count_new,primary_rate_new,retained_backup_count_new,retained_backup_rate_new,terminal_count_new,terminal_rate_new,alternative_count_new,L3_pass_count_new,L3_fail_count_new,L3_fail_rate_new,deadline_open_new,deadline_warning_new,deadline_expired_new,first_primary_cycle,first_terminal_cycle,longest_primary_run,longest_terminal_run,number_primary_runs,number_terminal_runs,last_cycle_leaving_terminal,number_primary_to_terminal_transitions,number_terminal_to_primary_transitions,final_action_role,fraction_last_100_cycles_terminal,fraction_last_100_cycles_primary,terminal_fraction_first100,terminal_fraction_middle100,primary_fraction_first100,active_progress_old,delta_old,hard_violation_old,min_hard_h_old,completed_cycles_old,primary_count_old,retained_backup_count_old,terminal_count_old,L3_fail_count_old,primary_rate_old,backup_rate_old,terminal_rate_old,L3_fail_rate_old,active_progress_change_new_minus_old,delta_change_new_minus_old,primary_rate_change,backup_rate_change,terminal_rate_change,L3_fail_rate_change,hard_outcome_change,trace_complete,EVIDENCE_SUPPORTED_MECHANISM_CLASS
33,30,False,0.00044145837767812563,0.0690417805265892,-0.06860032214891107,False,0.06471151094297274,500,1,0.002,1,0.002,498,0.996,0,1,499,0.998,2500,0,0,0,2,1,498,1,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.98,1.0,0.01,0.13194815419759146,0.06290637367100226,False,2.3516005042522115e-10,500,472,28,0,0,0.944,0.056,0.0,0.0,-0.13150669581991334,-0.1315066958199133,-0.942,-0.054,0.996,0.998,False->False,True,EARLY_TERMINAL_LOCK_IN
44,31,False,0.10066605584361069,0.0794385412954859,0.021227514548124785,False,0.0017458271213574982,500,125,0.25,15,0.03,360,0.72,0,125,375,0.75,2376,0,0,0,140,83,360,12,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,0.95,0.12614864082559574,0.046710099530109836,False,2.0927070443927667e-08,287,280,6,0,0,0.975609756097561,0.020905923344947737,0.0,0.0,-0.02548258498198505,-0.02548258498198505,-0.725609756097561,0.009094076655052262,0.72,0.75,False->False,True,L3_FAIL_TERMINAL_DOMINANT
14,32,False,0.27117694676655196,0.2505292586497598,0.020647688116792184,False,0.007243415082452958,500,155,0.31,11,0.022,334,0.668,0,155,345,0.69,2346,0,0,0,166,125,334,10,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,0.99,0.28414321729760733,0.03361395864784755,False,7.450576079703897e-09,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.012966270531055368,-0.012966270531055368,-0.69,0.022,0.668,0.69,False->False,True,L3_FAIL_TERMINAL_DOMINANT
16,33,False,0.05540787226309751,0.04651637974885039,0.008891492514247125,False,0.0158134044807146,500,45,0.09,3,0.006,452,0.904,0,45,455,0.91,2456,0,0,0,48,42,452,3,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.52,1.0,0.45,0.0735048635044856,0.026988483755635208,False,3.3670720746238436e-10,350,349,0,0,0,0.9971428571428571,0.0,0.0,0.0,-0.018096991241388083,-0.018096991241388083,-0.9071428571428571,0.006,0.904,0.91,False->False,True,EARLY_TERMINAL_LOCK_IN
61,34,False,0.06049321633153682,0.04815952591445018,0.012333690417086644,False,0.011444157716305808,500,53,0.106,6,0.012,441,0.882,0,53,447,0.894,2448,0,0,0,59,47,441,6,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.41,1.0,0.53,0.08541368503446896,0.03725415912001878,False,5.712748631037788e-08,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.024920468702932137,-0.024920468702932137,-0.894,0.012,0.882,0.894,False->False,True,EARLY_TERMINAL_LOCK_IN
23,35,False,0.08488594241142625,0.07556973378147276,0.009316208629953485,False,0.009057952762419358,500,87,0.174,9,0.018,404,0.808,0,87,413,0.826,2414,0,0,0,96,78,404,8,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.04,1.0,0.87,0.09666804895586745,0.021098315174394686,False,2.0000703389833282e-07,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.011782106544441201,-0.011782106544441201,-0.8260000000000001,0.018,0.808,0.826,False->False,True,EARLY_TERMINAL_LOCK_IN
6,36,False,0.8586142381212175,0.24773551649143596,0.6108787216297815,False,0.0030494466661620105,500,477,0.954,13,0.026,10,0.02,0,477,23,0.046,2024,0,0,0,490,452,10,13,1,NOT_AVAILABLE,0,0,TERMINAL,0.1,0.77,0.0,0.0,1.0,0.8674102576776498,0.6196747411862138,False,0.0005181550293203731,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.008796019556432277,-0.008796019556432277,-0.04600000000000004,0.026,0.02,0.046,False->False,True,NO_CLEAR_ROUTING_MECHANISM
96,37,False,0.8447173814430461,0.8196102340721496,0.025107147370896477,False,0.005035495755801887,500,394,0.788,5,0.01,101,0.202,0,394,106,0.212,2107,0,0,0,399,373,101,4,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,0.0,1.0,0.8531728950568982,0.03356266098474858,False,1.1678464674677069e-05,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.008455513613852106,-0.008455513613852106,-0.21199999999999997,0.01,0.202,0.212,False->False,True,NO_CLEAR_ROUTING_MECHANISM
43,38,False,0.07670521112076054,0.05692505688653672,0.019780154234223815,False,0.005880955854886928,500,87,0.174,9,0.018,404,0.808,0,87,413,0.826,2414,0,0,0,96,73,404,9,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.04,1.0,0.87,0.5764862493129943,0.5195611924264576,False,5.768381434429306e-05,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.49978103819223374,-0.4997810381922338,-0.8260000000000001,0.018,0.808,0.826,False->False,True,EARLY_TERMINAL_LOCK_IN
47,39,False,0.08442827143839574,0.07066448309777469,0.013763788340621044,False,0.005130242776962781,500,125,0.25,7,0.014,368,0.736,0,125,375,0.75,2376,0,0,0,132,115,368,7,1,NOT_AVAILABLE,0,0,TERMINAL,1.0,0.0,0.0,1.0,1.0,0.09228802359590539,0.0216235404981307,False,1.3176879627361654e-07,500,500,0,0,0,1.0,0.0,0.0,0.0,-0.007859752157509656,-0.007859752157509656,-0.75,0.014,0.736,0.75,False->False,True,L3_FAIL_TERMINAL_DOMINANT
